Country,Rank,Score,Support,GDP,Health,Freedom,Generosity,Corruption,Year,target,target_n
France,29,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2015,Top,4
Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2015,Top,4
Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2015,Top,4
Uruguay,32,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2015,Top,4
Colombia,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2015,Top,4
Thailand,34,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2015,Top,4
Saudi Arabia,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015,Top,4
Spain,36,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2015,Top,4
Malta,37,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,2015,Top,4
Taiwan,38,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2015,Top,4
Kuwait,39,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,2015,Top,4
Suriname,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015,Top,4
Trinidad and Tobago,41,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2015,Top-Mid,3
El Salvador,42,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,2015,Top-Mid,3
Guatemala,43,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2015,Top-Mid,3
Uzbekistan,44,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2015,Top-Mid,3
Slovakia,45,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2015,Top-Mid,3
Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,2015,Top-Mid,3
South Korea,47,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,2015,Top-Mid,3
Ecuador,48,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2015,Top-Mid,3
Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015,Top-Mid,3
Italy,50,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2015,Top-Mid,3
Bolivia,51,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2015,Top-Mid,3
Moldova,52,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,2015,Top-Mid,3
Paraguay,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2015,Top-Mid,3
Kazakhstan,54,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2015,Top-Mid,3
Slovenia,55,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,2015,Top-Mid,3
Lithuania,56,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2015,Top-Mid,3
Nicaragua,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2015,Top-Mid,3
Peru,58,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.05989,0.14982,2015,Top-Mid,3
Belarus,59,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2015,Top-Mid,3
Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,2015,Top-Mid,3
Malaysia,61,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,2015,Top-Mid,3
Croatia,62,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2015,Top-Mid,3
Libya,63,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2015,Top-Mid,3
Russia,64,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2015,Top-Mid,3
Jamaica,65,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2015,Top-Mid,3
North Cyprus,66,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,2015,Top-Mid,3
Cyprus,67,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,2015,Top-Mid,3
Algeria,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2015,Top-Mid,3
Kosovo,69,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2015,Top-Mid,3
Turkmenistan,70,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015,Top-Mid,3
Mauritius,71,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,2015,Top-Mid,3
Hong Kong,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015,Top-Mid,3
Estonia,73,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015,Top-Mid,3
Indonesia,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,2015,Top-Mid,3
Vietnam,75,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2015,Top-Mid,3
Turkey,76,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2015,Top-Mid,3
Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2015,Top-Mid,3
Nigeria,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2015,Top-Mid,3
Bhutan,79,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,2015,Top-Mid,3
Azerbaijan,80,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2015,Low-Mid,2
Pakistan,81,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,2015,Low-Mid,2
Jordan,82,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,2015,Low-Mid,2
Montenegro,82,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2015,Low-Mid,2
China,84,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,2015,Low-Mid,2
Zambia,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2015,Low-Mid,2
Romania,86,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,2015,Low-Mid,2
Serbia,87,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2015,Low-Mid,2
Portugal,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,2015,Low-Mid,2
Latvia,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,2015,Low-Mid,2
Philippines,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,2015,Low-Mid,2
Somaliland region,91,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001,2015,Low-Mid,2
Morocco,92,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2015,Low-Mid,2
Macedonia,93,5.007,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359,2015,Low-Mid,2
Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,2015,Low-Mid,2
Albania,95,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,2015,Low-Mid,2
Bosnia and Herzegovina,96,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2015,Low-Mid,2
Lesotho,97,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2015,Low-Mid,2
Dominican Republic,98,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,2015,Low-Mid,2
Laos,99,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996,2015,Low-Mid,2
Mongolia,100,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,2015,Low-Mid,2
Swaziland,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2015,Low-Mid,2
Greece,102,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,2015,Low-Mid,2
Lebanon,103,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,2015,Low-Mid,2
Hungary,104,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,2015,Low-Mid,2
Honduras,105,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,2015,Low-Mid,2
Tajikistan,106,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2015,Low-Mid,2
Tunisia,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2015,Low-Mid,2
Palestinian Territories,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11250999999999999,2015,Low-Mid,2
Bangladesh,109,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2015,Low-Mid,2
Iran,110,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086,2015,Low-Mid,2
Ukraine,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,2015,Low-Mid,2
Iraq,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,2015,Low-Mid,2
South Africa,113,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,2015,Low-Mid,2
Ghana,114,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2015,Low-Mid,2
Zimbabwe,115,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2015,Low-Mid,2
Liberia,116,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2015,Low-Mid,2
India,117,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2015,Low-Mid,2
Sudan,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2015,Low-Mid,2
Haiti,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2015,Low,1
Congo (Kinshasa),120,4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.07625,0.24834,2015,Low,1
Nepal,121,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,2015,Low,1
Ethiopia,122,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2015,Low,1
Sierra Leone,123,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2015,Low,1
Mauritania,124,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2015,Low,1
Kenya,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,2015,Low,1
Djibouti,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2015,Low,1
Armenia,127,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,2015,Low,1
Botswana,128,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,2015,Low,1
Myanmar,129,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,2015,Low,1
Georgia,130,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,2015,Low,1
Malawi,131,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2015,Low,1
Sri Lanka,132,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,2015,Low,1
Cameroon,133,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,2015,Low,1
Bulgaria,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015,Low,1
Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,2015,Low,1
Yemen,136,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.07854,0.09131,2015,Low,1
Angola,137,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,2015,Low,1
Mali,138,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,2015,Low,1
Congo (Brazzaville),139,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.11685999999999999,0.12387999999999999,2015,Low,1
Comoros,140,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998,2015,Low,1
Uganda,141,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,2015,Low,1
Senegal,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,2015,Low,1
Gabon,143,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,2015,Low,1
Niger,144,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,2015,Low,1
Cambodia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015,Low,1
Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,2015,Low,1
Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002,2015,Low,1
Central African Republic,148,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2015,Low,1
Chad,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015,Low,1
Guinea,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,2015,Low,1
Ivory Coast,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,2015,Low,1
Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,2015,Low,1
Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,2015,Low,1
Rwanda,154,3.465,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628,2015,Low,1
Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015,Low,1
Syria,156,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.18905999999999998,0.47179,2015,Low,1
Burundi,157,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,2015,Low,1
Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,2015,Low,1
Denmark,1,7.526,1.16374,1.4417799999999998,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2016,Top,4
Switzerland,2,7.5089999999999995,1.14524,1.5273299999999999,0.86303,0.58557,0.41203,0.28083,2016,Top,4
Iceland,3,7.501,1.18326,1.42666,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2016,Top,4
Norway,4,7.497999999999999,1.1269,1.57744,0.79579,0.59609,0.35775999999999997,0.37895,2016,Top,4
Finland,5,7.412999999999999,1.1346399999999999,1.40598,0.81091,0.57104,0.41003999999999996,0.25492,2016,Top,4
Canada,6,7.404,1.0961,1.44015,0.8276,0.5737,0.31329,0.44833999999999996,2016,Top,4
Netherlands,7,7.3389999999999995,1.02912,1.46468,0.8123100000000001,0.55211,0.29927,0.47416,2016,Top,4
New Zealand,8,7.334,1.17278,1.36066,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2016,Top,4
Australia,9,7.313,1.10476,1.4444299999999999,0.8512,0.5683699999999999,0.32331,0.47407,2016,Top,4
Sweden,10,7.291,1.08764,1.45181,0.83121,0.58218,0.40867,0.38254,2016,Top,4
Israel,11,7.267,0.9953700000000001,1.33766,0.8491700000000001,0.36432,0.08728,0.32288,2016,Top,4
Austria,12,7.119,1.0838299999999998,1.45038,0.80565,0.54355,0.21348000000000003,0.32865,2016,Top,4
United States,13,7.104,1.04782,1.50796,0.779,0.48163,0.14868,0.41076999999999997,2016,Top,4
Costa Rica,14,7.087000000000001,1.02152,1.06879,0.76146,0.55225,0.10547000000000001,0.22553,2016,Top,4
Puerto Rico,15,7.039,1.08113,1.35943,0.77758,0.46823000000000004,0.12275,0.22202,2016,Top,4
Germany,16,6.994,1.09774,1.44787,0.81487,0.53466,0.28551,0.30451999999999996,2016,Top,4
Brazil,17,6.952000000000001,1.03938,1.08754,0.61415,0.40425,0.14165999999999998,0.15775999999999998,2016,Top,4
Belgium,18,6.928999999999999,1.05249,1.42539,0.8195899999999999,0.51354,0.26248,0.2424,2016,Top,4
Ireland,19,6.907,1.16157,1.4834100000000001,0.81455,0.54008,0.29754,0.44963000000000003,2016,Top,4
Luxembourg,20,6.871,1.03999,1.6975200000000001,0.8454200000000001,0.5487,0.35329,0.27571,2016,Top,4
Mexico,21,6.778,0.7146,1.1150799999999998,0.71143,0.37709000000000004,0.18355,0.11735,2016,Top,4
Singapore,22,6.739,0.8675799999999999,1.64555,0.94719,0.4877,0.46986999999999995,0.32706,2016,Top,4
United Kingdom,23,6.725,1.0867200000000001,1.40283,0.80991,0.50036,0.27399,0.50156,2016,Top,4
Chile,24,6.705,0.9058700000000001,1.2167,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2016,Top,4
Panama,25,6.7010000000000005,0.9891200000000001,1.18306,0.70835,0.48927,0.08423,0.2418,2016,Top,4
Argentina,26,6.65,1.0661200000000002,1.15137,0.69711,0.42283999999999994,0.07296,0.10989000000000002,2016,Top,4
Czech Republic,27,6.596,1.00793,1.30915,0.76376,0.41418,0.03986,0.09929,2016,Top,4
United Arab Emirates,28,6.5729999999999995,0.8711399999999999,1.57352,0.72993,0.56215,0.35561,0.26591,2016,Top,4
Uruguay,29,6.545,1.0314299999999998,1.18157,0.72183,0.54388,0.21394000000000002,0.18056,2016,Top,4
Malta,30,6.4879999999999995,1.09879,1.30782,0.80315,0.54994,0.17554,0.56237,2016,Top,4
Colombia,31,6.481,1.02169,1.0303200000000001,0.59659,0.44735,0.053989999999999996,0.15625999999999998,2016,Top,4
France,32,6.478,1.00508,1.39488,0.83795,0.46562,0.17808,0.1216,2016,Top,4
Thailand,33,6.474,1.04477,1.0893,0.64915,0.49553,0.02833,0.58696,2016,Top,4
Saudi Arabia,34,6.379,0.84829,1.48953,0.59267,0.37904,0.30008,0.15457,2016,Top,4
Taiwan,34,6.379,0.92624,1.39729,0.79565,0.32377,0.0663,0.25495,2016,Top,4
Qatar,36,6.375,0.87964,1.82427,0.71723,0.56679,0.48049,0.32388,2016,Top,4
Spain,37,6.361000000000001,1.12945,1.34253,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2016,Top,4
Algeria,38,6.355,0.83309,1.05266,0.6180399999999999,0.21006,0.16157,0.07044,2016,Top,4
Guatemala,39,6.324,0.8711899999999999,0.83454,0.5403899999999999,0.50379,0.08701,0.28808,2016,Top,4
Suriname,40,6.269,0.77866,1.09686,0.5093300000000001,0.5223399999999999,0.12692,0.16665,2016,Top,4
Kuwait,41,6.239,0.8775799999999999,1.61714,0.63569,0.43166000000000004,0.23669,0.15965,2016,Top-Mid,3
Bahrain,42,6.218,0.9439700000000001,1.44024,0.65696,0.47375,0.25772,0.17147,2016,Top-Mid,3
Trinidad and Tobago,43,6.167999999999999,0.98569,1.32572,0.52608,0.48453,0.01241,0.31935,2016,Top-Mid,3
Venezuela,44,6.084,1.03302,1.1336700000000002,0.6190399999999999,0.19847,0.08304,0.0425,2016,Top-Mid,3
Slovakia,45,6.077999999999999,1.0826799999999999,1.27973,0.70367,0.23390999999999998,0.02947,0.13837,2016,Top-Mid,3
El Salvador,46,6.068,0.80975,0.8737,0.596,0.37269,0.10613,0.08877,2016,Top-Mid,3
Malaysia,47,6.005,0.88025,1.25142,0.62366,0.39031,0.09081,0.41473999999999994,2016,Top-Mid,3
Nicaragua,48,5.992000000000001,0.8952100000000001,0.69384,0.65213,0.46581999999999996,0.16292,0.29773,2016,Top-Mid,3
Uzbekistan,49,5.987,1.1681,0.7359100000000001,0.50163,0.60848,0.28333,0.34326,2016,Top-Mid,3
Italy,50,5.977,1.04167,1.35495,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2016,Top-Mid,3
Ecuador,51,5.976,0.85974,0.97306,0.68613,0.4027,0.18037,0.10074,2016,Top-Mid,3
Belize,52,5.956,0.68655,0.87616,0.45569,0.51231,0.10770999999999999,0.23684000000000002,2016,Top-Mid,3
Japan,53,5.921,1.06054,1.3800700000000001,0.91491,0.46761,0.18985,0.10224,2016,Top-Mid,3
Kazakhstan,54,5.919,0.95544,1.22943,0.57386,0.4052,0.11132,0.15011,2016,Top-Mid,3
Moldova,55,5.897,0.8313200000000001,0.69177,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,2016,Top-Mid,3
Russia,56,5.856,1.05261,1.2322799999999998,0.58991,0.32682,0.03586,0.027360000000000002,2016,Top-Mid,3
Poland,57,5.835,1.04685,1.24585,0.69058,0.4519,0.055,0.14443,2016,Top-Mid,3
South Korea,57,5.835,0.7219399999999999,1.35948,0.88645,0.25168,0.07716,0.18824000000000002,2016,Top-Mid,3
Bolivia,59,5.822,0.8377899999999999,0.79422,0.4697,0.50961,0.07746,0.21698,2016,Top-Mid,3
Lithuania,60,5.813,1.0641100000000001,1.2692,0.64674,0.18929,0.0182,0.02025,2016,Top-Mid,3
Belarus,61,5.8020000000000005,1.04993,1.1306200000000002,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2016,Top-Mid,3
North Cyprus,62,5.771,0.81826,1.31141,0.8414200000000001,0.43596,0.16577999999999998,0.26322,2016,Top-Mid,3
Slovenia,63,5.768,1.05613,1.2994700000000001,0.79151,0.53164,0.03635,0.25738,2016,Top-Mid,3
Peru,64,5.742999999999999,0.81255,0.9960200000000001,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2016,Top-Mid,3
Turkmenistan,65,5.6579999999999995,1.03817,1.08017,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2016,Top-Mid,3
Mauritius,66,5.648,0.75695,1.14372,0.66189,0.46145,0.05202999999999999,0.36951,2016,Top-Mid,3
Libya,67,5.615,0.95076,1.0668799999999998,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2016,Top-Mid,3
Latvia,68,5.56,0.95025,1.2178799999999999,0.63952,0.27996,0.0889,0.17445,2016,Top-Mid,3
Cyprus,69,5.546,0.70697,1.31857,0.8488,0.29507,0.05227999999999999,0.27906,2016,Top-Mid,3
Paraguay,70,5.537999999999999,1.11111,0.8937299999999999,0.58295,0.46235,0.07396,0.25296,2016,Top-Mid,3
Romania,71,5.528,0.7280300000000001,1.1697,0.67602,0.36712,0.006790000000000001,0.12889,2016,Top-Mid,3
Estonia,72,5.517,1.0516299999999998,1.2796399999999999,0.68098,0.41511000000000003,0.18519000000000002,0.08423,2016,Top-Mid,3
Jamaica,73,5.51,0.96372,0.89333,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2016,Top-Mid,3
Croatia,74,5.4879999999999995,0.6080899999999999,1.18649,0.70524,0.23906999999999998,0.04002,0.18434,2016,Top-Mid,3
Hong Kong,75,5.457999999999999,0.87021,1.5107,0.9527700000000001,0.48078999999999994,0.31647,0.40097,2016,Top-Mid,3
Somalia,76,5.44,0.33613000000000004,0.0,0.11465999999999998,0.5677800000000001,0.3118,0.27225,2016,Top-Mid,3
Kosovo,77,5.401,0.66062,0.90145,0.54,0.14396,0.06547,0.27992,2016,Top-Mid,3
Turkey,78,5.388999999999999,0.8771700000000001,1.1649200000000002,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2016,Top-Mid,3
